Job Title,Company,Location,Experience Required,Job URL,Posted Date,Source,Description
Software Engineering and Architecture,Walmart Labs,,,https://careers.walmart.com/content/careers/us/en/home/careers-areas/technology/software-engineering-and-architecture?searchQuery=Software Engineering and Architecture&careerareas=Technology,,Walmart Labs,
"AI & watsonx ™ RoleBackend Developer watsonx ™As a Backend developer, you will be part of a global team that builds and supports Watson Machine Learning and watsonx.ai.Available jobs",IBM,,,https://www.ibm.com/careers/search?q=watsonx%20developer,,IBM,
iOS Developer,SAP_Concur,,,https://jobs.sap.com/job/Prague-5-iOS-Developer-158-00/1287967101/,,SAP_Concur,
Full Stack Developer,SAP_Concur,,,https://jobs.sap.com/job/Prague-5-Full-Stack-Developer-158-00/1288920901/,,SAP_Concur,
Backend Developer Jobs,Agoda,,,https://careersatagoda.com/vacancies/?search=back%20end,,Agoda,
Full Stack Developer Jobs,Agoda,,,https://careersatagoda.com/vacancies/?search=Full%20Stack,,Agoda,
Data Analyst,Restaurant365,Remote,,https://remoteOK.com/remote-jobs/remote-data-analyst-restaurant365-1130099,,RemoteOK,"<p>Restaurant365 is a SaaS company disrupting the restaurant industry! Our cloud-based platform provides a&nbsp;unique, centralized solution for accounting and back-office operations for restaurants. Restaurant365âs culture is focused on empowering team members to produce top-notch results while elevating their skills. Weâre constantly evolving and improving to make sure we are and always will be âBest in Classâ ... and we want that for you too!</p><p><br></p><p>Restaurant365 is seeking ..."
Senior Automation Engineer Java,Ubiminds,Remote,,https://remoteOK.com/remote-jobs/remote-senior-automation-engineer-java-ubiminds-1130093,,RemoteOK,"<p><span style=""font-size: 32px"">Info on the Senior Automation Engineer - Java role</span></p><p><br></p><p>Want to get to the next step in your international career? We can support you!</p><p><br></p><p>Ubiminds is a GPTW-certified, people-first company that partners with American software product companies to scale their development footprint. Ubi custom-curates Brazilian top 5% talent for their LATAM strategy, offering a unique combo of staff augmentation and employer-of-record services.</p><..."
Application Security Engineer,Anthropic,Remote,,https://remoteOK.com/remote-jobs/remote-application-security-engineer-anthropic-1130088,,RemoteOK,"<div><h2><strong>About Anthropic</strong></h2>
<p>Anthropic's mission is to create reliable, interpretable, and steerable AI systems. We want AI to be safe and beneficial for our users and for society as a whole. Our team is a quickly growing group of committed researchers, engineers, policy experts, and business leaders working together to build beneficial AI systems.</p></div><div><div>
<h2>About the role:</h2>
</div>
<div>
<p>The Application Security team is at the forefront of building secur..."
DevOps Engineer,Higher Logic,Remote,,https://remoteOK.com/remote-jobs/remote-devops-engineer-higher-logic-1130083,,RemoteOK,"Company Description
At Higher Logic, engagement happens here. As the industry-leading, human-focused engagement platform we deliver powerful online communities and communication tools to organizations looking to build, retain, and grow their member or customer base. We're obsessed with engagement and, with over 13 years of experience in the industry, we've got it down to a science. We are a global company with offices throughout the US, Canada, and Australia. We serve more than 3,000 customers, ..."
Senior Angular Software Engineer,Aiwyn,Remote,,https://remoteOK.com/remote-jobs/remote-senior-angular-software-engineer-aiwyn-1130082,,RemoteOK,"Who is Aiwyn and what do we do? Aiwyn is transforming the way accounting firms manage the entire revenue lifecycle. Backed by top-tier investors like Bessemer, KKR, and Revolution, we're one of the fastest-growing scale-up SaaS companies in the world. We build category-defining technologyâand we're doing it with world-class people, processes, and products. To learn more, visit our website Who You Are: You are a strategic builder and a dynamic leader, driven by the passion to learn new technolo..."
