Job Title,Company,Location,Experience Required,Job URL,Posted Date,Source,Description,Priority Score,Days Since Posted,Freshness,Salary,Deadline,Days Until Deadline,Skills Match %,Ready to Apply,Applied,Applied Date,Application Method,Application Error,Status,Notes
Software Engineers | $50-$150/hr,HelixRecruit,Remote,,https://justremote.coremote-developer-jobs/software-engineers-100-200-hr-helixrecruit,,JustRemote,,45,None,Unknown,$50-150,,,0.0,Yes,No,,,,Not Applied,
Software Engineers | $50-$150/hr,HelixRecruit,Remote,,https://justremote.co,,JustRemote,,45,None,Unknown,$50-150,,,0.0,Yes,No,,,,Not Applied,
"Développeur(-euse) de logiciels III, Connectivité des partenaires / Software Developer III, Partner Connectivity",Expedia,,,https://careers.expediagroup.com/job/d-veloppeur-euse-de-logiciels-iii-connectivit-des-partenaires-software-developer-iii-partner-connectivity/montreal-Quebec/R-99482/,,Expedia,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
"Senior Manager, Software Development Engineering - Packages Shopping",Expedia,,,https://careers.expediagroup.com/job/senior-manager-software-development-engineering-packages-shopping/chicago-IL/R-101686/,,Expedia,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
"Senior Software Development Engineer, Advertising Technology",Expedia,,,https://careers.expediagroup.com/job/senior-software-development-engineer-advertising-technology/chicago-IL/R-101285/,,Expedia,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
iOS Engineer III - Design System,Expedia,,,https://careers.expediagroup.com/job/ios-engineer-iii-design-system/chicago-IL/R-99287/,,Expedia,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
"Senior Manager, Software Development Engineering - Vacation Rental Differentiators",Expedia,,,https://careers.expediagroup.com/job/senior-manager-software-development-engineering-vacation-rental-differentiators/austin-TX/R-101709/,,Expedia,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
Salesforce Software Development Engineer II,Expedia,,,https://careers.expediagroup.com/job/salesforce-software-development-engineer-ii/seattle-WA/R-98381-1/,,Expedia,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
Salesforce Software Development Engineer II,Expedia,,,https://careers.expediagroup.com/job/salesforce-software-development-engineer-ii/austin-TX/R-98381/,,Expedia,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
Senior Financial Analyst - Multiple RolesRemote - Americas,Shopify,Remote - Americas,,https://www.shopify.com/careers/senior-financial-analyst-multiple-roles_40ef1cb0-5c56-4963-84fe-946708e5d74a,,Shopify,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
"AGC, PartnershipsRemote - Americas",Shopify,Remote - Americas,,https://www.shopify.com/careers/agc-partnerships_5de9add2-829e-4307-8d9e-20ee3353d237,,Shopify,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
"Senior Product Partnerships Manager, Shipping & LogisticsRemote - Americas",Shopify,Remote - Americas,,https://www.shopify.com/careers/senior-product-partnerships-manager-shipping-logistics_a49fc193-1aca-4a52-8cde-3bc591fb1109,,Shopify,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
Senior Software Engineer Web,BitMEX,Remote,,https://remoteOK.com/remote-jobs/remote-senior-software-engineer-web-bitmex-1130197,,RemoteOK,"<p style=""text-align: justify;""><span style=""font-size: 10pt; font-family: helvetica, arial, sans-serif;""><strong>About BitMEX</strong></span></p><p style=""text-align: justify;""><span style=""font-size: 10pt; font-family: helvetica, arial, sans-serif;"">BitMEX stands as a globally leading exchange for crypto derivatives, offering traders a professional-grade trading platform. Since its inception in 2014, BitMEX has maintained an impeccable security record with ""no coin lost, ever!"".</span></p><p s...",25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
Junior Multimedia Designer,ALX Africa,Remote,,https://remoteOK.com/remote-jobs/remote-junior-multimedia-designer-alx-africa-1130177,,RemoteOK,"<p><em>Are you a creative designer who can bring ideas to life through illustrations, infographics, and motion graphics? Do you know how to turn data into engaging visuals and learning content that captivates audiences? Can you storyboard, animate, and edit video and audio into polished, impactful material? Are you confident working within brand guidelines while still delivering fresh, innovative designs? Do you thrive under pressure, balancing multiple projects with precision, creativity, and c...",25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
Software Engineer Apps,Headout,Remote,,https://remoteOK.com/remote-jobs/remote-software-engineer-apps-headout-1130216,,RemoteOK,"<div><h1><strong>ð</strong> Why Headout?</h1>
<h3>Weâre a rocketship: 9-figure revenue, record growth, and profitable</h3>
<p>With $130M in revenue, guests in 100+ cities, and 18 months of profitability, Headout is the fastest-growing marketplace in the travel industry, and we're just getting started. We've raised $60M+ from top-tier investors and are building a durable company for the long term â because that's what our mission needs and deserves. We're growing, profitable and nowhere ne...",20,None,Unknown,$874-31,,,1.2,Yes,No,,,,Not Applied,
